time,windSpeed,windGust,windDirection
2025-05-18T15:30:38.000Z,1.00,7.00,57
2025-05-18T15:45:41.000Z,3.00,6.00,200
2025-05-18T16:00:46.000Z,3.00,5.00,177
2025-05-18T16:15:46.000Z,0.00,9.00,12
2025-05-18T16:45:50.000Z,2.00,7.00,79
2025-05-18T17:00:52.000Z,0.00,9.00,11
2025-05-18T17:15:53.000Z,3.00,9.00,55
2025-05-18T17:30:07.000Z,7.00,12.00,39
2025-05-18T17:45:08.000Z,1.00,8.00,73
2025-05-18T18:00:08.000Z,5.00,9.00,347
2025-05-18T18:15:10.000Z,5.00,11.00,13
2025-05-18T18:30:13.000Z,2.00,8.00,344
2025-05-18T18:45:15.000Z,9.00,11.00,34
2025-05-18T19:00:16.000Z,9.00,15.00,301
2025-05-18T19:15:19.000Z,6.00,16.00,347
2025-05-18T19:30:33.000Z,6.00,14.00,305
2025-05-18T19:45:35.000Z,9.00,12.00,298
2025-05-18T20:00:52.000Z,6.00,12.00,333
2025-05-18T20:15:53.000Z,6.00,14.00,341
2025-05-18T20:30:54.000Z,5.00,12.00,19
2025-05-18T20:45:54.000Z,10.00,13.00,331
2025-05-18T21:00:55.000Z,6.00,15.00,323
2025-05-18T21:15:56.000Z,12.00,16.00,344
2025-05-18T21:30:59.000Z,16.00,23.00,345
2025-05-18T21:45:02.000Z,15.00,21.00,326
2025-05-18T22:00:19.000Z,9.00,20.00,342
2025-05-18T22:15:21.000Z,13.00,19.00,5
2025-05-18T22:30:26.000Z,11.00,27.00,355
2025-05-18T22:46:29.000Z,13.00,20.00,5
2025-05-18T23:00:32.000Z,9.00,22.00,344
2025-05-18T23:15:33.000Z,17.00,20.00,36
2025-05-18T23:30:36.000Z,11.00,20.00,39
2025-05-18T23:45:38.000Z,1.00,10.00,95
2025-05-19T00:00:50.000Z,2.00,,72
2025-05-19T00:15:51.000Z,2.00,6.00,68
2025-05-19T00:30:09.000Z,0.00,2.00,55
2025-05-19T00:45:12.000Z,3.00,5.00,80
2025-05-19T01:00:14.000Z,0.00,2.00,75
2025-05-19T01:15:16.000Z,1.00,3.00,102
2025-05-19T01:30:19.000Z,0.00,,100
2025-05-19T01:45:21.000Z,0.00,,101
2025-05-19T02:00:24.000Z,0.00,,101
2025-05-19T02:15:28.000Z,0.00,,150
2025-05-19T02:30:40.000Z,1.00,4.00,295
2025-05-19T02:45:43.000Z,2.00,4.00,248
2025-05-19T03:00:47.000Z,1.00,3.00,303
2025-05-19T03:15:50.000Z,0.00,3.00,338
2025-05-19T03:30:53.000Z,2.00,3.00,296
2025-05-19T03:45:55.000Z,4.00,7.00,315
2025-05-19T04:00:57.000Z,6.00,8.00,259
2025-05-19T04:15:58.000Z,3.00,8.00,294
2025-05-19T04:30:11.000Z,4.00,7.00,296
2025-05-19T04:45:13.000Z,0.00,3.00,323
2025-05-19T05:01:15.000Z,1.00,3.00,254
2025-05-19T05:15:16.000Z,0.00,6.00,252
2025-05-19T05:30:18.000Z,0.00,4.00,156
2025-05-19T05:45:18.000Z,1.00,2.00,271
2025-05-19T06:00:19.000Z,1.00,3.00,273
2025-05-19T06:15:20.000Z,2.00,4.00,276
2025-05-19T06:30:21.000Z,1.00,3.00,313
2025-05-19T06:45:21.000Z,4.00,5.00,303
2025-05-19T07:00:34.000Z,2.00,7.00,282
2025-05-19T07:15:35.000Z,7.00,10.00,284
2025-05-19T07:30:54.000Z,7.00,11.00,269
2025-05-19T07:45:54.000Z,3.00,13.00,273
2025-05-19T08:01:14.000Z,6.00,13.00,261
2025-05-19T08:15:14.000Z,11.00,15.00,277
2025-05-19T08:30:15.000Z,12.00,20.00,252
2025-05-19T08:45:36.000Z,9.00,24.00,267
2025-05-19T09:00:37.000Z,13.00,16.00,263
2025-05-19T09:15:54.000Z,12.00,19.00,306
2025-05-19T09:30:55.000Z,0.00,15.00,321
2025-05-19T09:45:13.000Z,9.00,20.00,254
2025-05-19T10:00:14.000Z,15.00,25.00,268
2025-05-19T10:15:15.000Z,8.00,17.00,272
2025-05-19T10:30:16.000Z,7.00,15.00,276
2025-05-19T10:45:16.000Z,2.00,19.00,253
2025-05-19T11:00:17.000Z,2.00,10.00,237
2025-05-19T11:15:18.000Z,11.00,13.00,248
2025-05-19T11:30:19.000Z,11.00,20.00,269
2025-05-19T11:45:33.000Z,14.00,23.00,288
2025-05-19T12:00:34.000Z,14.00,24.00,290
2025-05-19T12:16:35.000Z,11.00,32.00,267
2025-05-19T12:30:36.000Z,13.00,36.00,267
2025-05-19T12:45:37.000Z,13.00,22.00,286
2025-05-19T13:00:37.000Z,6.00,16.00,331
2025-05-19T13:15:38.000Z,6.00,24.00,292
2025-05-19T13:30:38.000Z,4.00,11.00,295
2025-05-19T13:45:49.000Z,11.00,19.00,340
2025-05-19T14:00:51.000Z,10.00,21.00,300
2025-05-19T14:15:08.000Z,3.00,22.00,304
2025-05-19T14:30:09.000Z,7.00,15.00,304
2025-05-19T14:45:10.000Z,3.00,14.00,281
2025-05-19T15:26:21.086Z,,,
